subject_id,trial,correct_response,response_time,trial_timeout,timeout_time,interTrial_timeout,left_image,right_image
1,1,1,1430474366712,0,NA,0,pics/1.jpg,pics/3.jpg
1,2,1,1430474367520,0,NA,0,pics/3.jpg,pics/0.jpg
1,3,0,1430474368276,0,NA,0,pics/3.jpg,pics/4.jpg
1,4,0,1430474370542,0,NA,0,pics/2.jpg,pics/0.jpg
1,5,1,1430474372822,0,NA,0,pics/4.jpg,pics/3.jpg
1,6,1,1430474373602,0,NA,0,pics/1.jpg,pics/2.jpg
1,7,0,1430474374340,0,NA,0,pics/3.jpg,pics/1.jpg
1,8,0,1430474376644,0,NA,0,pics/4.jpg,pics/2.jpg
1,9,1,1430474378936,0,NA,0,pics/1.jpg,pics/4.jpg
1,10,0,1430474379718,0,NA,0,pics/4.jpg,pics/1.jpg
1,11,0,1430474381994,0,NA,0,pics/2.jpg,pics/1.jpg
1,12,0,1430474384434,0,NA,0,pics/0.jpg,pics/2.jpg
1,13,0,1430474386769,0,NA,0,pics/0.jpg,pics/1.jpg
1,14,1,1430474389146,0,NA,0,pics/2.jpg,pics/4.jpg
1,15,1,1430474389966,0,NA,0,pics/3.jpg,pics/2.jpg
1,16,0,1430474390689,0,NA,0,pics/0.jpg,pics/4.jpg
1,17,1,1430474393361,0,NA,0,pics/4.jpg,pics/0.jpg
1,18,1,1430474394407,0,NA,0,pics/0.jpg,pics/3.jpg
1,19,0,1430474395243,0,NA,0,pics/2.jpg,pics/3.jpg
1,20,1,1430474397665,0,NA,0,pics/1.jpg,pics/0.jpg
